gender,age,tenure,monthlycharges,paymentmethod,industry
1,22.0,31.99999890215214,43.37000012266861,4,1
1,34.0,70.0,114.95,0,2
0,70.0,68.0,83.87,1,0
1,57.0,51.0,58.25,4,1
0,60.0,33.0,46.41,4,1
1,54.0,57.0,95.25,0,2
1,65.0,43.0,116.74,9,0
0,51.0,19.0,90.13,2,0
0,52.0,17.0,88.25,5,2
0,51.0,56.0,19.7,0,2
0,37.0,30.0,45.12,1,0
1,61.0,68.0,54.39,9,0
0,43.0,1.0,71.25,5,2
0,20.0,24.0,55.91,8,1
0,31.0,48.0,44.72,8,1
0,27.0,48.0,65.65,5,2
0,22.0,49.999999169206646,64.61000014634755,4,1
0,22.0,1.0,20.2,0,2
0,26.0,28.0,40.86,8,1
1,38.0,51.0,66.49,4,0
0,46.0,65.0,108.05,3,2
0,25.0,51.0,82.75,4,0
1,38.0,7.0,40.97,8,1
1,25.0,1.0,88.8,5,2
0,68.0,17.0,23.86,9,0
0,53.0,62.0,101.15,0,2
0,38.0,18.0,71.1,5,2
1,49.0,8.0,85.56,1,0
1,48.0,33.0,20.15,6,2
0,37.0,28.0,59.9,5,2
0,19.0,36.0,45.78,7,0
1,21.0,17.000001263518634,46.99000031694167,2,1
1,44.0,34.0,112.95,4,0
0,39.0,69.0,85.4,0,2
0,53.0,57.0,62.77,8,1
1,38.0,51.0,93.65,0,2
0,18.0,8.0,28.78,9,0
1,28.0,54.0,104.39,9,0
0,59.0,11.0,33.42,4,1
1,60.0,3.0,94.6,5,2
0,64.0,36.0,53.29,2,1
0,30.0,13.0,97.36,1,0
0,32.0,37.0,39.25,2,1
1,65.0,2.0,69.95,6,2
0,57.0,13.0,87.27,4,0
0,20.0,19.0,93.63,8,0
0,61.0,58.0,57.97,4,1
1,65.0,50.0,105.05,3,2
1,52.0,48.00000074975121,38.74000101372809,2,1
0,50.0,4.0,45.65,6,2
1,53.0,11.0,93.52,4,0
0,25.0,66.0,89.0,5,2
0,48.0,48.0,44.8,5,2
0,57.0,0.9999993015714838,34.46000123296615,8,1
1,51.0,49.0,48.84,4,1
0,30.0,4.0,70.21,9,0
0,32.0,53.0,42.3,7,0
0,47.0,41.0,96.85,1,0
0,51.0,56.0,111.95,5,2
0,40.0,47.0,43.5,4,1
0,60.0,6.0,29.45,0,2
0,39.0,24.0,26.83,9,0
1,43.0,43.0,95.54,9,0
1,48.0,38.0,100.38,1,0
1,31.0,2.0,69.8,3,2
0,29.0,52.0,100.3,5,2
1,70.0,35.00000113046696,50.929998506034295,2,1
0,45.0,56.0,99.9,0,2
1,22.0,64.0,23.43,1,0
1,48.0,26.0,95.38,8,0
0,47.0,8.0,28.75,1,0
0,56.0,51.0,60.89,1,0
0,51.0,54.0,63.23,4,1
1,62.0,27.0,46.36,2,1
0,62.0,17.0,101.55,4,0
0,65.0,24.0,30.36,1,0
1,53.0,11.0,33.38,4,1
0,39.0,64.0,96.9,6,2
0,64.0,35.0,114.0,4,0
1,49.0,60.0,78.94,7,0
0,34.0,54.0,45.56,4,1
0,44.0,38.9999996805071,50.79999987647024,4,1
1,24.0,55.0,46.9,8,1
1,66.0,70.0,98.7,0,2
0,60.0,0.0,52.55,0,2
0,68.0,48.0,67.47,8,1
0,23.0,51.0,68.02,2,1
0,29.0,56.00000030707733,51.80999848837282,2,1
1,29.0,55.0,32.97,9,0
0,43.0,52.0,58.75,2,0
1,60.0,16.0,40.21,8,1
1,69.0,65.0,24.75,3,2
1,34.0,29.0,45.0,6,2
0,68.0,3.0,109.2,2,0
0,35.0,26.0,20.81,8,0
0,68.0,61.0,111.78,1,0
1,43.0,63.0,76.86,8,0
0,52.0,1.0,91.3,5,2
1,21.0,12.0,34.0,6,2
0,39.0,52.0,52.77,4,1
0,39.0,24.0,52.68,8,1
1,21.0,3.0,114.74,4,0
0,35.0,40.0,56.9,2,1
1,67.0,44.9999992779914,48.71999873731815,2,1
1,46.0,39.00000074069703,38.87999991870931,8,1
1,64.0,21.0,46.4,4,1
0,53.0,3.0,44.32,8,1
0,31.0,18.0,81.88,2,0
1,42.0,34.00000094402366,58.7400001424436,2,1
0,58.0,20.0,109.89,4,0
0,53.0,37.0,28.6,3,2
1,41.0,2.0,104.95,8,0
1,65.0,2.0,52.29,2,1
0,65.0,1.0,85.0,5,2
1,64.0,11.0,90.41,8,0
0,21.0,1.0,70.6,5,2
0,58.0,71.0,77.35,3,2
1,25.0,59.0,111.9,4,0
1,35.0,14.0,109.68,8,0
1,28.0,29.0,39.86,4,1
1,60.0,34.0,56.92,8,0
1,41.0,23.0,35.16,2,1
1,63.0,32.99999898367575,43.27000001700433,8,1
0,65.0,8.0,100.15,3,2
1,45.0,4.0,35.99,8,1
0,51.0,32.0,47.33,2,1
0,57.0,41.99999861897495,64.1200004544657,8,1
0,20.0,17.000000774037442,40.99000009633761,4,1
0,60.0,4.0,29.74,4,1
0,51.0,48.0,24.55,0,2
1,52.0,9.0,49.2,6,2
1,56.0,69.0,88.5,9,0
0,26.0,16.0,70.52,9,0
0,55.0,65.0,24.03,7,0
1,54.0,8.0,19.45,0,2
1,46.0,30.0,68.1,2,0
1,34.0,47.0,42.75,8,1
0,25.0,41.0,44.52,8,1
0,33.0,56.0,85.6,0,2
1,29.0,13.0,34.19,8,1
0,69.0,56.0,105.45,0,2
0,30.0,39.0,40.05,8,1
1,70.0,51.0,29.45,3,2
0,64.0,51.0,50.81,4,1
0,47.0,12.0,43.16,2,1
1,43.0,68.0,105.25,0,2
0,54.0,63.0,107.5,5,2
0,54.0,59.0,107.0,3,2
1,31.0,28.0,36.83,2,0
0,50.0,6.0,44.15,8,1
1,35.0,36.0,25.1,3,2
1,27.0,48.0,78.05,4,0
0,23.0,64.0,106.27,8,0
0,60.0,65.0,119.36,8,0
1,33.0,51.0,96.4,3,2
1,59.0,63.0,19.25,6,2
0,43.0,32.0,108.37,2,0
1,62.0,24.0,89.25,5,2
0,63.0,44.0,88.15,3,2
0,36.0,58.0,73.36,1,0
1,41.0,5.0,41.97,8,1
1,19.0,8.0,64.33,2,0
1,29.0,4.0,29.65,5,2
0,57.0,27.0,81.2,7,0
0,50.0,25.0,100.25,5,2
0,40.0,3.0,79.1,5,2
0,34.0,55.0,25.65,3,2
0,60.0,71.0,82.0,3,2
0,51.0,51.0,62.96,4,1
0,45.0,17.0,91.85,5,2
0,54.0,35.0,65.6,7,0
1,56.0,45.0,54.67,2,1
1,35.0,63.0,37.11,1,0
0,32.0,18.0,54.61,2,1
0,27.0,48.0,105.25,3,2
0,27.0,55.0,48.24,4,1
0,53.0,33.0,49.03,8,1
1,45.0,43.0,45.77,8,1
1,34.0,34.0,113.67,7,0
0,51.0,41.0,54.44,2,1
0,67.0,70.0,110.2,5,2
1,49.0,47.0,25.56,2,0
1,24.0,42.0,63.3,4,1
0,28.0,44.0,26.22,8,0
0,70.0,60.0,95.24,7,0
1,44.0,1.0,24.05,6,2
0,58.0,26.0,48.47,2,1
0,41.0,60.0,39.02,2,0
1,53.0,22.0,64.67,2,0
0,43.0,22.0,48.32,8,1
1,37.0,45.000001623490284,47.78999982360306,4,1
1,34.0,21.0,51.61,4,1
0,23.0,19.0,41.7,1,0
1,59.0,25.000000662445814,56.1700002215295,2,1
0,20.0,10.0,51.24,8,1
0,25.0,36.0,38.5,4,1
1,25.0,14.9999995299176,42.47999993197947,8,1
1,63.0,24.0,27.22,1,0
0,68.0,66.0,49.4,3,2
1,66.0,55.0,65.53,4,1
1,67.0,36.0,60.14,2,1
1,20.0,21.0,78.75,1,0
0,36.0,7.0,40.69,8,1
0,19.0,6.0,37.54,2,0
0,39.0,26.0,40.78,7,0
0,23.0,3.0,83.9,6,2
0,27.0,8.0,32.23,2,1
0,51.0,22.0,45.03,2,1
0,62.0,57.0,49.9,0,2
0,42.0,32.0,53.23,2,1
0,31.0,27.0,76.1,5,2
1,59.0,16.0,19.7,6,2
1,29.0,13.0,114.5,9,0
0,44.0,10.0,86.45,5,2
0,21.0,26.0,48.65,2,1
1,60.0,50.0,103.95,5,2
0,24.0,7.0,33.77,8,1
1,51.0,8.0,69.7,5,2
0,39.0,3.0,85.33,9,0
1,28.0,1.0,55.18,2,0
1,61.0,3.0,19.85,6,2
0,60.0,28.0,92.09,2,0
0,46.0,54.0,51.59,2,1
0,27.0,7.0,73.85,5,2
0,70.0,69.0,64.17,7,0
1,66.0,71.0,86.4,3,2
1,65.0,31.0,53.61,8,1
0,37.0,38.0,84.25,3,2
0,35.0,44.0,46.02,8,1
0,65.0,58.0,109.45,0,2
0,44.0,53.0,104.7,7,0
1,43.0,49.0,50.83,8,1
1,53.0,25.999998792995857,34.54000077712702,2,1
1,20.0,71.0,116.1,0,2
0,70.0,8.0,54.67,2,1
0,49.0,43.0,65.94,9,0
0,45.0,24.0,90.54,9,0
0,60.0,43.0,69.82,4,0
0,70.0,24.0,96.55,5,2
0,54.0,15.0,59.45,5,2
0,40.0,10.999999096872354,24.050000662199942,8,1
0,20.0,56.0,116.13,4,0
0,40.0,45.0,42.63,4,1
1,65.0,69.0,24.45,0,2
1,66.0,29.000000135071144,57.17000014178039,8,1
0,27.0,38.0,66.15,0,2
0,50.0,41.0,52.0,8,1
0,58.0,10.0,60.44,2,0
1,60.0,46.0,62.94,7,0
0,60.0,24.0,99.3,3,2
0,24.0,44.0,48.71,2,1
0,18.0,52.0,27.01,7,0
0,32.0,45.0,20.0,0,2
0,26.0,32.0,90.25,1,0
0,32.0,53.0,66.68,8,0
0,24.0,43.0,51.25,0,2
0,22.0,24.0,33.15,8,1
0,29.0,53.0,61.16,2,1
0,21.0,22.0,37.84,8,0
1,27.0,11.0,86.2,5,2
1,50.0,23.0,90.45,5,2
1,35.0,69.0,19.3,0,2
0,24.0,28.0,33.3,8,1
0,56.0,26.0,51.28,7,0
1,32.0,58.0,51.92,4,1
0,52.0,23.0,19.65,3,2
0,22.0,41.0,50.93,4,1
1,48.0,2.0,95.5,3,2
1,51.0,68.0,24.0,0,2
0,32.0,16.0,50.15,5,2
0,44.0,71.0,99.4,5,2
0,55.0,24.999999975495015,59.19999950190675,2,1
0,28.0,34.0,37.71,4,0
0,28.0,37.0,19.8,5,2
0,56.0,50.0,19.4,3,2
1,47.0,34.0,51.71,8,1
0,33.0,68.0,84.4,3,2
0,29.0,42.9999994794746,58.19999981764794,2,1
0,59.0,14.0,64.7,0,2
1,37.0,10.0,59.59,2,0
0,22.0,42.0,20.35,3,2
1,40.0,66.0,91.7,0,2
1,42.0,53.99999894426095,51.90000146924471,4,1
0,59.0,17.0,61.9,1,0
0,28.0,52.0,59.48,8,1
0,57.0,14.0,25.55,6,2
1,21.0,6.0,46.4,4,0
1,33.0,50.0,58.53,8,1
0,40.0,4.0,42.58,8,1
1,30.0,1.0,35.55,5,2
1,26.0,58.0,29.66,9,0
1,57.0,29.0,31.32,2,1
1,48.0,11.0,74.35,5,2
1,41.0,55.0,45.22,2,0
0,50.0,29.0,19.55,6,2
0,22.0,35.0,50.31,2,0
0,24.0,41.0,54.44,4,1
0,30.0,10.0,-3.52,4,1
1,31.0,28.000000592341074,58.15000031235693,8,1
0,39.0,56.0,104.75,5,2
1,70.0,5.0,77.16,4,0
1,32.0,53.0,94.25,0,2
1,45.0,19.0,51.13,1,0
1,35.0,54.0,56.15,8,1
1,69.0,21.0,55.51,8,1
0,56.0,52.0,55.21,8,1
0,51.0,66.0,104.55,0,2
1,32.0,33.0,50.17,2,1
0,38.0,72.0,23.3,0,2
0,70.0,55.0,86.48,9,0
0,33.0,42.0,36.81,8,1
1,27.0,20.0,39.4,3,2
1,25.0,71.0,109.6,5,2
0,53.0,57.0,76.71,4,0
1,24.0,42.0,51.21,4,0
0,41.0,30.0,96.3,8,0
0,27.0,8.0,90.25,5,2
1,24.0,27.0,86.28,8,0
0,38.0,43.0,22.41,9,0
0,61.0,33.0,105.35,0,2
0,62.0,57.0,46.29,2,1
1,41.0,55.0,25.46,2,0
0,42.0,43.0,98.23,7,0
0,65.0,63.0,41.15,2,0
1,32.0,47.0,95.2,3,2
1,24.0,34.0,112.76,1,0
1,46.0,2.0,19.75,6,2
0,67.0,24.0,40.65,3,2
1,61.0,24.000000144377292,42.50999968564818,8,1
1,46.0,4.0,49.35,5,2
1,40.0,49.000001042223275,42.82000048861796,2,1
0,55.0,42.0,94.45,3,2
1,47.0,14.0,37.04,2,0
0,54.0,51.0,47.86,8,1
1,63.0,27.0,48.09,1,0
1,35.0,65.0,108.65,0,2
1,46.0,19.0,28.54,2,1
0,30.0,47.0,90.87,7,0
1,42.0,1.0,69.95,5,2
0,54.0,25.999999190073652,50.38000026141494,4,1
0,40.0,32.00000007293623,38.07000110171659,8,1
1,62.0,72.0,107.7,3,2
1,41.0,46.0,54.72,8,1
0,49.0,8.999999434052993,30.000000649493835,4,1
0,23.0,51.0,65.85,8,1
0,68.0,26.00000119973977,51.139998446673964,2,1
1,23.0,8.000000057571983,49.489999473714825,4,1
1,55.0,1.0,44.3,6,2
1,51.0,31.0,42.98,8,0
0,70.0,15.999999743341236,42.750000930287804,2,1
1,50.0,3.0,50.15,5,2
0,58.0,12.0,90.73,1,0
0,55.0,43.00000022876207,40.890000474354615,2,1
1,60.0,20.0,66.11,4,0
1,34.0,12.0,67.4,9,0
0,66.0,43.0,50.5,8,1
0,37.0,22.0,26.78,2,0
0,23.0,15.0,83.74,1,0
0,22.0,20.0,90.8,5,2
1,32.0,43.0,54.27,8,1
1,67.0,8.0,50.67,4,1
1,28.0,2.0,45.85,6,2
1,22.0,1.0,24.2,6,2
1,43.0,2.0,43.61,8,0
0,49.0,5.0,30.31,8,1
1,65.0,66.0,25.45,0,2
0,46.0,37.0,94.92,7,0
1,32.0,72.0,25.4,0,2
1,68.0,45.0,52.33,4,1
0,46.0,28.0,85.66,8,0
1,42.0,54.0,65.47,2,1
1,70.0,42.0,98.4,1,0
0,29.0,40.99999865240406,57.42000032691602,2,1
0,37.0,29.000000733864056,33.24000076384546,8,1
1,48.0,37.0,98.8,0,2
1,49.0,1.0,79.05,5,2
0,39.0,34.0,36.96,2,1
1,64.0,12.0,42.81,2,1
0,63.0,32.0,109.76,4,0
1,51.0,20.0,64.4,3,2
1,61.0,15.0,119.84,8,0
0,26.0,20.0,55.32,1,0
0,32.0,56.0,42.28,2,1
0,27.0,9.0,88.4,6,2
0,30.0,4.0,74.45,5,2
1,40.0,15.0,75.1,6,2
0,45.0,41.0,35.4,3,2
1,43.0,48.0,60.6,7,0
1,66.0,1.0,54.78,2,0
0,70.0,11.0,64.9,5,2
0,52.0,21.0,85.74,1,0
0,46.0,39.0,42.38,2,1
1,24.0,44.0,100.1,0,2
1,30.0,38.0,98.33,9,0
1,57.0,23.0,44.13,2,0
0,60.0,43.0,64.33,4,0
0,70.0,52.0,58.76,9,0
0,43.0,23.0,99.33,8,0
0,41.0,13.0,56.0,5,2
1,26.0,61.0,72.78,1,0
0,39.0,27.0,95.0,3,2
1,51.0,27.0,41.5,7,0
0,67.0,46.0,59.46,8,1
0,43.0,34.0,71.18,9,0
0,65.0,49.0,40.41,2,1
0,39.0,41.0,59.57,8,1
0,58.0,13.0,33.38,4,1
1,24.0,11.0,28.87,4,1
1,66.0,28.0,41.44,4,1
0,62.0,37.0,49.61,2,1
1,29.0,16.0,43.37,8,1
0,45.0,42.0,39.63,2,1
1,69.0,24.0,53.25,8,1
0,54.0,46.999998854550036,60.299999471965506,2,1
0,33.0,34.0,52.56,8,1
1,48.0,51.0,75.29,7,0
0,22.0,25.0,45.41,8,1
1,56.0,38.0,39.19,1,0
1,30.0,29.0,51.94,2,1
1,39.0,68.0,38.4,8,0
0,66.0,10.0,111.93,7,0
1,36.0,69.0,26.0,0,2
1,46.0,66.0,88.29,2,0
1,29.0,23.0,40.88,8,1
0,56.0,48.0,58.95,0,2
1,53.0,3.0,82.91,8,0
0,55.0,72.0,19.7,3,2
0,66.0,52.0,43.2,4,1
0,60.0,1.0,50.8,5,2
1,54.0,59.0,58.66,2,1
0,42.0,30.999998743091325,40.03000045133552,4,1
1,39.0,13.0,93.8,3,2
1,30.0,45.0,65.83,8,0
1,47.0,32.0,49.67,8,1
0,55.0,35.0,114.12,4,0
0,61.0,54.0,99.1,5,2
0,49.0,43.0,55.21,2,1
1,65.0,63.0,36.1,0,2
1,59.0,28.0,80.73,8,0
1,25.0,46.0,109.86,2,0
1,20.0,2.0,25.67,8,1
1,62.0,50.0,101.9,0,2
1,29.0,25.0,31.03,4,0
0,52.0,2.0,76.4,5,2
1,61.0,58.00000044551211,62.689999094506014,8,1
0,34.0,15.0,55.25,4,1
0,53.0,61.0,59.8,5,2
0,40.0,41.0,56.3,3,2
0,41.0,25.0,55.66,4,0
0,30.0,25.0,81.15,2,0
0,55.0,22.999998355304836,38.22999949138131,4,1
0,24.0,17.0,55.85,6,2
0,22.0,66.0,118.58,4,0
0,53.0,39.0,113.07,1,0
1,25.0,40.0,52.54,8,1
0,34.0,38.0,103.65,5,2
1,65.0,45.0,47.94,8,1
0,48.0,31.0,91.41,2,0
1,61.0,39.999999208811815,43.48000088426522,8,1
0,26.0,72.0,49.2,5,2
0,52.0,22.0,62.18,9,0
1,67.0,47.0,100.05,5,2
1,42.0,27.0,48.7,3,2
0,54.0,38.0,41.09,8,1
0,36.0,10.0,93.37,7,0
0,26.0,62.0,113.95,6,2
1,65.0,52.0,63.73,2,1
0,48.0,26.0,105.45,5,2
0,57.0,17.0,64.94,8,0
1,33.0,21.0,52.86,4,1
0,34.0,52.0,116.8,2,0
0,49.0,35.0,28.4,8,0
0,67.0,60.0,31.45,7,0
1,31.0,28.0,76.55,0,2
1,62.0,34.0,76.87,1,0
1,61.0,27.0,117.92,2,0
1,42.0,51.00000097385696,44.60999919906099,8,1
0,21.0,57.0,69.85,0,2
0,36.0,38.0,84.66,1,0
0,28.0,10.0,29.65,5,2
1,69.0,57.0,46.65,2,1
0,41.0,37.0,103.06,1,0
0,70.0,49.0,74.45,0,2
1,51.0,27.0,49.32,1,0
1,45.0,46.0,94.65,5,2
1,49.0,52.0,40.99,4,1
0,54.0,47.0,21.68,1,0
0,56.0,40.99999980836878,39.879999501233094,8,1
0,66.0,44.0,51.25,4,1
0,63.0,40.99999872102691,52.01000091523882,8,1
1,57.0,3.0,94.85,5,2
1,38.0,29.0,66.02,9,0
1,40.0,45.00000266097987,59.439999584313675,2,1
1,46.0,35.0,73.0,5,2
0,22.0,19.0,25.6,6,2
1,60.0,36.0,50.86,8,1
1,26.0,18.0,33.5,3,2
1,58.0,13.0,20.4,5,2
1,52.0,63.0,25.25,6,2
0,52.0,54.0,54.01,2,0
0,42.0,49.0,103.0,0,2
0,64.0,23.0,28.72,8,1
1,22.0,67.0,24.65,0,2
1,70.0,14.999999028870496,46.75999988187212,4,1
0,59.0,34.00000107086963,53.829999367884284,8,1
1,45.0,1.0,44.88,8,1
1,32.0,45.00000081045794,52.33000043519816,4,1
0,41.0,54.0,68.84,9,0
1,58.0,40.0,70.75,3,2
0,69.0,2.0,20.5,0,2
1,26.0,30.0,22.47,7,0
1,67.0,1.0,49.65,6,2
1,35.0,19.0,53.5,2,0
1,41.0,62.0,41.12,7,0
1,44.0,25.0,28.38,2,0
1,38.0,17.0,44.45,3,2
1,62.0,40.0,92.9,2,0
1,59.0,66.0,115.8,0,2
1,65.0,16.0,56.68,8,1
0,38.0,5.0,109.63,4,0
1,35.0,6.0,59.55,1,0
1,42.0,34.0,60.72,8,0
1,59.0,30.0,50.0,6,2
0,59.0,32.0,35.15,5,2
1,36.0,13.0,55.67,9,0
0,27.0,1.0,25.7,5,2
1,52.0,69.0,95.35,0,2
1,21.0,24.0,92.5,1,0
1,24.0,26.0,98.65,5,2
0,28.0,72.0,86.6,0,2
0,24.0,37.0,62.02,8,1
1,59.0,69.0,101.55,9,0
0,37.0,1.0,19.9,0,2
0,28.0,67.0,102.13,7,0
1,50.0,4.0,26.69,8,1
0,50.0,22.0,51.54,4,1
1,39.0,35.0,95.45,5,2
0,40.0,2.0,70.75,5,2
0,30.0,34.0,94.31,7,0
0,28.0,32.0,101.35,5,2
1,20.0,22.0,87.5,2,0
0,64.0,29.0,56.13,9,0
1,22.0,17.0,82.7,7,0
0,55.0,4.999998642854698,30.990000029733842,8,1
1,33.0,41.0,83.75,0,2
0,26.0,14.0,51.95,8,1
0,33.0,19.0,20.2,6,2
0,34.0,72.0,109.9,5,2
0,59.0,35.0,24.3,0,2
0,42.0,15.0,75.35,0,2
1,62.0,42.0,67.67,2,0
1,37.0,13.0,66.96,2,0
1,22.0,8.0,37.52,2,1
0,69.0,50.0,75.69,1,0
0,65.0,11.0,46.02,2,1
1,61.0,13.0,40.59,4,1
0,38.0,37.0,75.1,0,2
0,69.0,32.0,49.77,2,1
1,60.0,25.000000110166038,39.31999908950334,8,1
0,66.0,5.999999707271835,43.370000592983665,8,1
0,44.0,72.0,110.45,0,2
1,55.0,47.0,118.49,7,0
0,30.0,21.999999490664415,50.610001753146484,2,1
0,27.0,13.000000771271388,45.73999977984873,2,1
1,28.0,56.00000057502556,60.500000650066355,4,1
0,49.0,55.0,57.72,1,0
0,56.0,59.0,30.82,7,0
1,55.0,49.999999073520925,51.579999525079245,2,1
0,25.0,19.0,51.79,2,1
0,33.0,58.0,104.72,7,0
1,58.0,27.0,79.5,5,2
0,50.0,42.0,85.29,4,0
1,40.0,34.0,33.86,8,1
1,41.0,10.0,39.77,8,1
1,25.0,41.0,104.7,5,2
0,22.0,35.0,46.35,3,2
1,54.0,19.0,19.8,6,2
1,67.0,68.0,25.4,0,2
0,65.0,50.00000147882533,55.94000006251684,4,1
0,60.0,15.0,42.43,2,1
0,35.0,29.0,37.27,8,1
0,69.0,26.999998607681253,43.7199991066617,4,1
0,62.0,40.0,32.26,2,0
1,58.0,10.0,27.53,8,1
1,28.0,67.0,100.9,3,2
0,54.0,62.0,48.7,0,2
1,32.0,24.0,89.55,5,2
1,21.0,13.0,84.05,5,2
1,23.0,60.0,19.65,3,2
1,29.0,10.0,111.2,1,0
0,62.0,55.0,60.33,4,1
1,53.0,63.0,103.4,5,2
0,33.0,49.0,71.8,5,2
0,61.0,53.0,71.47,9,0
1,60.0,21.000000734241386,42.95999893896016,4,1
0,31.0,5.0,50.6,6,2
0,30.0,37.0,97.76,9,0
0,27.0,1.0,20.15,6,2
0,62.0,33.0,95.0,3,2
1,42.0,66.0,110.57,8,0
0,23.0,43.0,82.91,9,0
1,18.0,53.0,33.87,4,0
0,39.0,29.0,44.28,2,1
0,58.0,1.9999996579485322,24.900000444200895,2,1
1,48.0,30.0,81.96,2,0
1,69.0,42.0,70.37,7,0
0,61.0,41.0,119.03,7,0
0,61.0,14.0,62.92,7,0
1,21.0,26.999999923112927,44.28000022887448,4,1
0,38.0,6.999999854936088,42.83000103028788,8,1
1,46.0,19.0,114.56,7,0
0,56.0,34.0,42.47,9,0
0,42.0,12.0,35.73,2,1
1,57.0,15.0,55.48,8,0
1,23.0,64.0,116.38,2,0
1,37.0,13.0,96.58,9,0
0,34.0,59.0,40.61,2,1
0,41.0,20.0,82.38,7,0
1,30.0,3.0,40.15,6,2
1,62.0,10.000002001967415,51.90000042926446,2,1
0,56.0,60.0,119.84,4,0
1,51.0,1.0,19.9,6,2
1,64.0,23.0,30.08,8,1
0,62.0,21.0,97.35,5,2
1,57.0,40.99999900652938,45.52999995702852,2,1
0,23.0,48.00000024503188,51.08999925168397,2,1
1,58.0,67.0,81.66,8,0
1,60.0,2.0,23.39,4,0
0,47.0,19.0,44.91,2,1
0,53.0,24.0,68.15,2,0
1,43.0,35.00000148203248,39.49000019526282,4,1
1,43.0,9.0,40.69,4,1
1,29.0,6.0,47.4,2,1
1,69.0,36.0,44.7,7,0
1,30.0,27.0,44.28,4,1
0,51.0,3.0,20.55,3,2
0,64.0,14.0,78.1,5,2
0,41.0,50.0,95.05,5,2
1,65.0,23.0,36.29,2,1
0,45.0,54.0,85.09,8,0
0,63.0,30.0,76.16,7,0
